First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Mariusz,Ksiazkiewicz,The Iron Pol,Oct 04 1989,6' 3",185 lbs.,75.0",Southpaw,8,1,0,--,0.93,45,3.40,39,4.00,100,0,2.0
Junya,Kudo,,--,--,135 lbs.,--,Orthodox,10,7,2,--,1.85,71,4.44,33,0.00,0,0,0.0
John,Kuhner,,Oct 12 1982,--,170 lbs.,--,,1,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Michael,Kuiper,,Jun 07 1989,6' 0",185 lbs.,73.0",Orthodox,15,5,0,--,3.28,54,3.62,54,2.30,55,79,0.0
Anton,Kuivanen,,May 01 1984,5' 8",155 lbs.,72.0",Orthodox,24,10,0,--,2.27,38,1.63,67,1.20,100,71,0.4
Maiju,Kujala,,--,--,135 lbs.,--,,6,3,0,--,2.50,40,5.50,36,0.00,0,50,0.0
Aleksei,Kunchenko,,May 02 1984,5' 8",170 lbs.,70.0",Orthodox,20,2,0,--,3.67,44,2.83,63,0.25,33,80,0.0
Rizvan,Kuniev,,Mar 10 1992,6' 4",260 lbs.,--,,9,2,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Keigo,Kunihara,,--,6' 0",235 lbs.,--,Orthodox,3,2,0,--,0.17,10,1.99,57,4.97,40,100,2.5
Kiichi,Kunimoto,Strasser,May 01 1981,5' 10",170 lbs.,71.0",Orthodox,18,7,2,--,1.87,44,3.92,41,1.59,20,28,0.3
Yana,Kunitskaya,,Nov 11 1989,5' 6",135 lbs.,68.0",Orthodox,14,5,0,--,4.22,57,2.62,51,1.62,53,50,0.2
Leo,Kuntz,The Lion,Oct 03 1983,5' 10",155 lbs.,--,Orthodox,18,4,1,--,1.68,32,3.80,45,1.99,25,33,0.7
Korey,Kuppe,,Jan 23 1989,6' 5",170 lbs.,77.0",Switch,8,4,0,--,0.73,73,1.33,31,0.00,0,69,1.0
Ramazan,Kuramagomedov,,Aug 23 1996,6' 1",170 lbs.,73.0",Orthodox,8,0,0,--,11.67,67,9.13,54,1.00,14,0,0.0
Tsuyoshi,Kurihara,,Jul 13 1973,5' 10",185 lbs.,--,Orthodox,10,8,2,--,0.00,0,12.00,50,0.00,0,0,0.0
Eldari,Kurtanidze,,Apr 16 1972,5' 6",235 lbs.,--,Orthodox,0,1,0,--,0.47,20,3.72,60,0.00,0,0,0.0
Kyle,Kurtz,,--,--,170 lbs.,--,,7,5,0,--,1.31,36,2.95,52,1.23,20,0,2.5
Guram,Kutateladze,Georgian Viking,Jan 08 1992,5' 11",155 lbs.,72.0",Orthodox,12,2,0,--,2.47,43,3.47,58,0.00,0,68,0.0
Lina,Kvokov,,--,5' 9",135 lbs.,--,Orthodox,0,3,0,--,2.31,30,12.12,19,0.00,0,0,0.0
Kaleo,Kwan,Leo Boy,Aug 01 1970,5' 7",155 lbs.,--,,11,16,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jarrod,Kwitty,,--,5' 8",185 lbs.,--,,2,2,0,--,0.53,50,4.40,32,8.00,50,0,2.0
Mike,Kyle,MAK,Mar 31 1980,6' 4",205 lbs.,77.0",Orthodox,22,14,1,--,3.93,51,3.35,49,1.33,62,50,0.8
Achmed,Labasanov,,Apr 24 1978,6' 3",215 lbs.,--,Orthodox,7,4,0,--,0.75,39,1.10,46,3.00,100,0,0.8
Josh,LaBerge,,--,5' 10",145 lbs.,--,,11,6,0,--,2.53,36,5.33,44,0.00,0,71,0.0
Jeremiah,Labiano,The Kid,--,5' 10",135 lbs.,--,,11,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kemran,Lachinov,,--,--,170 lbs.,--,,3,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Aspen,Ladd,,Mar 01 1995,5' 6",135 lbs.,66.0",Orthodox,9,1,0,--,5.22,55,4.84,46,2.45,75,66,1.2
Ryan,LaFlare,,Oct 01 1983,6' 1",170 lbs.,74.0",Southpaw,14,3,0,--,2.89,40,1.86,63,2.13,44,58,0.2
Ben,Lagman,Bad News,Sep 04 1986,6' 2",185 lbs.,--,,6,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Noad,Lahat,Neo,Jun 08 1984,5' 9",145 lbs.,69.0",Orthodox,11,2,0,--,2.79,46,1.47,63,2.37,26,16,2.4
Tina,Lahdemaki,Jelly Bean,May 28 1988,5' 2",115 lbs.,--,Orthodox,5,1,0,--,1.93,20,4.67,57,0.00,0,16,0.0
Tim,Lajcik,The Bohemian,Jun 21 1965,6' 1",225 lbs.,--,Orthodox,7,6,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Todd,Lally,,--,5' 7",145 lbs.,--,Orthodox,2,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Sean,Lally,The Unpredictable One,Nov 04 1990,6' 0",170 lbs.,--,Orthodox,7,3,0,--,5.34,39,7.23,30,0.00,0,0,0.0
Ricardo,Lamas,The Bully,May 21 1982,5' 8",145 lbs.,71.0",Orthodox,20,8,0,--,3.13,47,2.87,57,1.84,33,46,0.9
Jason,Lambert,The Punisher,Jun 03 1975,6' 3",185 lbs.,75.0",Orthodox,26,13,0,--,3.21,58,1.84,50,1.35,36,28,2.4
Jose,Landi-Jons,Pele,Sep 09 1973,5' 11",170 lbs.,--,Orthodox,29,16,0,--,0.99,40,0.77,43,2.20,80,40,2.2
Nate,Landwehr,The Train,Jun 06 1988,5' 9",145 lbs.,72.0",Orthodox,14,4,0,--,7.02,50,7.67,51,0.00,0,85,0.0
Austen,Lane,,Nov 09 1987,6' 6",245 lbs.,--,Orthodox,2,1,0,--,5.26,35,6.32,60,0.00,0,0,0.0
Aaron,Lanfranco,,Aug 26 1986,--,155 lbs.,--,,5,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jeremy,Lang,,May 11 1975,5' 11",205 lbs.,--,Southpaw,21,2,0,--,1.13,50,1.41,42,4.22,60,0,4.2
Lionel,Lanham,,Aug 31 1980,--,205 lbs.,--,,5,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Lina,Lansberg,Elbow Queen,Mar 13 1982,5' 7",135 lbs.,65.0",Orthodox,10,5,0,--,2.76,57,3.70,44,0.71,33,50,0.1
Taylor,Lapilus,Double Impact,Apr 08 1992,5' 6",135 lbs.,73.0",Southpaw,11,2,0,--,3.77,45,2.00,61,0.58,40,81,0.6
Chad,Laprise,The Disciple,Jul 23 1986,5' 10",170 lbs.,71.0",Orthodox,13,4,0,--,4.78,42,3.59,65,1.05,54,78,0.0
Anthony,Lapsley,The Recipe,Feb 13 1980,5' 9",170 lbs.,--,Southpaw,23,7,0,--,0.53,34,0.58,66,0.00,0,20,0.0
TJ,Laramie,,Oct 15 1997,5' 6",145 lbs.,66.0",Orthodox,12,4,0,--,2.73,51,3.24,26,2.56,50,0,0.0
Icho,Larenas,,Mar 12 1980,6' 3",235 lbs.,--,Orthodox,6,5,0,--,0.17,15,2.50,28,0.00,0,14,0.0
Lorenz,Larkin,The Monsoon,Sep 03 1986,5' 11",170 lbs.,72.0",Orthodox,18,6,0,--,3.53,46,2.74,63,0.27,42,79,0.1
Jeremy,Larsen,,May 18 1984,5' 10",145 lbs.,70.0",Orthodox,8,5,0,--,4.87,48,5.75,57,2.49,33,0,0.0
Brock,Larson,,Aug 23 1977,5' 11",170 lbs.,71.0",Southpaw,42,10,0,--,1.39,46,1.50,55,2.67,34,43,2.0
Ryan,Larson,,Dec 30 1980,--,170 lbs.,--,,6,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bobby,Lashley,,Jul 16 1976,6' 3",255 lbs.,78.0",Orthodox,15,2,0,--,3.10,63,0.76,63,11.47,70,0,0.0
Ilir,Latifi,The Sledgehammer,Jul 28 1983,5' 10",205 lbs.,73.0",Orthodox,15,8,0,--,2.01,40,2.84,56,2.02,32,100,0.4
Sione,Latu,,--,6' 0",215 lbs.,--,,1,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jenel,Lausa,,Aug 01 1988,5' 5",125 lbs.,68.0",Orthodox,7,5,0,--,1.44,42,3.53,53,0.55,66,51,0.8
Joe,Lauzon,,May 22 1984,5' 10",155 lbs.,71.0",Orthodox,28,16,0,--,2.84,39,5.39,54,2.39,45,54,2.0
Dan,Lauzon,The Upgrade,Mar 30 1988,5' 10",155 lbs.,--,Orthodox,17,6,0,--,1.34,25,4.09,61,1.63,33,80,2.7
Chatt,Lavender,,May 24 1976,5' 8",170 lbs.,--,,9,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Muhammed,Lawal,King Mo,Jan 11 1981,6' 0",205 lbs.,78.0",Southpaw,21,6,0,--,3.79,52,1.61,66,5.96,75,87,0.0
Robbie,Lawler,Ruthless,Mar 20 1982,5' 11",170 lbs.,74.0",Southpaw,28,15,0,--,3.50,45,4.16,60,0.68,64,64,0.0
Tom,Lawlor,Filthy,May 15 1983,6' 0",205 lbs.,74.0",Southpaw,10,6,0,--,2.50,42,2.41,60,2.46,32,57,1.4
Justin,Lawrence,The American Kidd,May 15 1990,5' 8",145 lbs.,67.0",Orthodox,10,4,0,--,3.84,35,2.83,67,0.72,28,73,0.0
Lance,Lawrence,,Jun 26 1993,6' 1",145 lbs.,74.0",Orthodox,4,1,0,--,5.87,50,9.80,24,1.00,100,50,0.0
Ronnie,Lawrence,The Heat,Jun 13 1992,5' 8",135 lbs.,68.0",Switch,7,1,0,--,3.80,58,1.09,61,10.86,76,100,0.5
Eric,Lawson,,--,6' 0",185 lbs.,--,Orthodox,9,5,0,--,1.58,57,1.97,44,8.88,42,0,3.0
Valmir,Lazaro,Bidu,Aug 15 1985,6' 0",155 lbs.,73.0",Orthodox,15,5,0,--,4.87,37,4.09,61,1.33,40,96,0.0
Mounir,Lazzez,The Sniper,Nov 16 1987,6' 1",170 lbs.,76.0",Orthodox,10,2,0,--,5.69,55,4.78,45,3.41,100,60,0.0
Cung,Le,,May 25 1972,5' 9",185 lbs.,70.0",Southpaw,9,3,0,--,4.36,48,2.98,66,1.37,71,88,0.3
Thanh,Le,,Aug 28 1985,5' 9",145 lbs.,74.0",Orthodox,6,1,0,--,1.97,40,1.82,70,0.00,0,100,0.0
Jordan,Leavitt,The Monkey King,Jun 02 1995,5' 9",155 lbs.,71.0",Southpaw,8,0,0,--,1.08,55,0.43,75,6.50,66,0,3.2
Jerome,LeBanner,,Dec 26 1972,6' 3",265 lbs.,--,Southpaw,3,2,0,--,0.92,35,1.03,37,0.00,0,50,0.0
Chris,Leben,The Crippler,Jul 21 1980,5' 11",185 lbs.,73.0",Southpaw,22,11,0,--,2.87,42,2.87,52,1.14,41,53,0.8
Mickael,Lebout,Ragnar,Aug 16 1987,5' 11",155 lbs.,73.0",Orthodox,16,7,1,--,2.60,34,2.98,54,0.00,0,60,0.0
Stephen,Ledbetter,,Jun 30 1982,5' 9",145 lbs.,--,Orthodox,8,3,0,--,1.20,38,1.60,57,5.00,45,100,0.0
Justin,Ledet,El Blanco,Sep 28 1988,6' 4",205 lbs.,80.0",Orthodox,9,4,0,--,3.35,39,4.82,49,0.23,50,42,0.2
James,Lee,,Sep 22 1973,5' 11",205 lbs.,--,Southpaw,15,3,0,--,1.40,42,3.72,27,13.95,50,0,7.0
David,Lee,,--,5' 10",155 lbs.,--,Orthodox,12,10,0,--,1.49,50,3.31,42,0.00,0,50,0.0
Jackie,Lee,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Eun Soo,Lee,,Mar 07 1982,6' 1",215 lbs.,--,Orthodox,17,4,0,--,0.00,0,3.05,60,0.00,0,50,0.0
Tae Hyun,Lee,,Jan 17 1975,6' 6",295 lbs.,--,Orthodox,1,2,0,--,1.37,31,3.89,54,5.15,100,0,0.0
Tommy,Lee,,Jan 20 1977,5' 7",145 lbs.,--,Orthodox,25,6,0,--,0.00,0,0.30,75,4.57,33,0,0.0
Matt,Lee,,--,5' 11",155 lbs.,--,Orthodox,14,10,1,--,0.00,0,9.68,21,0.00,0,0,0.0
Imani,Lee,,--,--,--,--,Orthodox,2,4,0,--,0.00,0,0.94,33,0.00,0,0,0.0
Vaughan,Lee,,Oct 15 1982,5' 6",125 lbs.,66.0",Orthodox,14,13,1,--,3.47,47,2.07,70,0.81,33,72,1.0
Kevin,Lee,The Motown Phenom,Sep 04 1992,5' 9",170 lbs.,77.0",Orthodox,18,6,0,--,3.90,42,3.23,51,3.21,43,75,0.8
Rocky,Lee,,Apr 08 1987,5' 9",145 lbs.,--,Orthodox,3,2,0,--,2.47,51,5.33,44,1.00,10,33,0.0
Andrea,Lee,KGB,Feb 11 1989,5' 6",125 lbs.,69.0",Orthodox,12,5,0,--,5.48,50,3.68,64,1.95,52,57,0.9
Ricky,Legere Jr.,IE Bad Boy,--,5' 8",170 lbs.,--,,14,4,0,--,1.07,41,1.53,60,5.00,41,0,0.0
Sherron,Leggett,Rob Roy,Oct 27 1978,5' 8",155 lbs.,--,Southpaw,21,6,0,--,2.86,51,2.08,47,5.19,80,33,0.0
Cheyden,Leialoha,Steadfast,Mar 15 1994,5' 8",135 lbs.,73.0",Orthodox,6,0,0,--,1.87,28,3.20,53,2.00,33,71,0.0
Thales,Leites,,Sep 06 1981,6' 1",185 lbs.,78.0",Orthodox,28,9,0,--,2.13,40,2.99,52,2.10,27,30,1.1
Stefan,Leko,Blitz,Jun 03 1974,6' 2",215 lbs.,--,Orthodox,0,3,0,--,2.40,43,6.17,68,0.00,0,0,0.0
Gabe,Lemley,,--,5' 8",155 lbs.,--,Orthodox,13,9,0,--,0.82,35,6.03,45,0.00,0,0,0.0
Amanda,Lemos,,May 22 1987,5' 4",115 lbs.,65.0",Southpaw,9,1,1,--,6.21,64,5.39,45,1.98,100,100,0.5
Giacomo,Lemos,,Jun 23 1989,6' 3",247 lbs.,75.0",Orthodox,6,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Christophe,Leninger,,--,6' 0",200 lbs.,--,Southpaw,3,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jesse,Lennox,The Ox,Mar 10 1982,5' 9",170 lbs.,72.0",Orthodox,14,4,0,--,2.69,32,3.20,64,1.22,66,63,0.3
Jean Francois,Lenogue,,Nov 29 1972,6' 0",185 lbs.,--,Orthodox,16,17,3,--,1.13,34,0.27,60,0.00,0,33,0.0
Nik,Lentz,The Carny,Aug 13 1984,5' 8",145 lbs.,68.0",Orthodox,30,12,2,--,3.44,47,3.25,50,3.30,32,43,1.2
Alberta Cerra,Leon,,--,5' 8",238 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Victoria,Leonardo,Fury,Feb 16 1990,5' 5",125 lbs.,64.0",Orthodox,8,4,0,--,3.40,37,4.15,47,2.39,37,0,0.0
Anthony,Leone,,May 27 1987,5' 6",135 lbs.,--,Orthodox,15,8,0,--,1.94,53,2.52,56,1.72,18,0,0.0
Chad,Leonhardt,The Boss,Feb 19 1980,6' 0",170 lbs.,--,,9,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kimo,Leopoldo,,Jan 05 1968,6' 3",235 lbs.,--,Orthodox,10,7,1,--,0.76,83,2.12,30,4.55,100,0,2.3
Michael,Lerma,,--,--,--,--,,0,1,0,--,0.00,0,6.47,45,0.00,0,0,0.0
Lukasz,Les,,Nov 05 1981,--,170 lbs.,--,,8,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Brock,Lesnar,,Jul 12 1977,6' 3",265 lbs.,81.0",Orthodox,5,3,0,--,3.53,72,2.11,50,3.90,55,60,0.5
Frank,Lester,,Jun 10 1984,5' 11",170 lbs.,--,Orthodox,11,6,0,--,2.18,36,3.82,53,0.00,0,0,0.0
Valerie,Letourneau,Trouble,Apr 29 1983,5' 7",115 lbs.,68.0",Orthodox,8,6,0,--,4.51,37,5.40,58,0.77,45,66,0.3
Leah,Letson,Nidas,Aug 21 1992,5' 7",145 lbs.,71.0",,5,2,0,--,4.87,40,3.80,63,0.00,0,100,0.0
Justin,Levens,The Executioner,Apr 18 1980,5' 11",185 lbs.,--,Orthodox,10,7,0,--,1.24,47,3.15,37,1.69,50,33,5.1
Marcus,LeVesseur,The Prospect,Jul 17 1982,5' 9",155 lbs.,70.0",Southpaw,22,7,0,--,2.55,64,3.70,37,3.89,36,83,0.6
David,Levicki,,--,6' 5",275 lbs.,--,,1,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kyle,Levinton,,--,--,--,--,,0,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Natan,Levy,,Sep 30 1991,5' 9",155 lbs.,71.0",Southpaw,6,0,0,--,1.65,60,0.82,57,2.75,100,100,2.8
John,Lewis,,--,6' 0",155 lbs.,--,Southpaw,3,4,3,--,0.00,0,4.00,66,0.00,0,0,0.0
Derrick,Lewis,The Black Beast,Feb 07 1985,6' 3",260 lbs.,79.0",Orthodox,25,7,0,--,2.59,50,2.16,44,0.52,26,54,0.0
Bevon,Lewis,,May 05 1991,6' 3",185 lbs.,79.0",Orthodox,7,3,0,--,3.73,43,2.67,54,0.00,0,66,0.0
Brandon,Lewis,,Aug 02 1997,5' 4",135 lbs.,--,,5,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Chi,Lewis-Parry,Chopper,Aug 10 1983,6' 9",243 lbs.,--,,7,0,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Li,Jingliang,The Leech,Mar 20 1988,6' 0",170 lbs.,71.0",Orthodox,18,6,0,--,4.52,42,3.65,59,1.28,39,59,0.0
Jess,Liaudin,The Joker,--,5' 9",170 lbs.,72.0",Orthodox,20,11,0,--,2.46,51,2.76,41,3.28,53,30,1.6
Chuck,Liddell,The Iceman,Dec 17 1969,6' 2",205 lbs.,76.0",Orthodox,21,8,0,--,2.97,35,2.71,56,0.44,75,81,0.0
Sam,Liera,,--,--,--,--,,12,10,0,--,0.82,60,7.36,51,0.00,0,66,0.0
Zach,Light,,Feb 06 1974,5' 8",170 lbs.,--,Orthodox,9,11,0,--,0.81,33,1.90,48,1.36,100,0,0.0
Scott,Lighty,,Oct 15 1978,6' 2",205 lbs.,--,,6,2,0,--,2.91,21,4.24,49,0.00,0,0,0.0
Chris,Liguori,,--,5' 9",185 lbs.,--,Orthodox,15,10,0,--,0.29,33,1.44,0,0.00,0,50,0.0
Donnie,Liles,,--,5' 9",170 lbs.,--,Orthodox,17,7,0,--,2.25,41,1.75,65,2.50,28,0,1.2
Jae Suk,Lim,,Nov 09 1979,5' 9",170 lbs.,--,Orthodox,17,6,0,--,2.43,50,4.05,37,12.16,100,100,0.0
Hyun Gyu,Lim,The Ace,Jan 16 1985,6' 3",170 lbs.,77.0",Orthodox,13,7,1,--,4.45,41,5.07,51,0.23,100,73,0.2
Juliana,Lima,Ju Thai,Mar 15 1982,5' 5",115 lbs.,65.0",Orthodox,9,5,0,--,1.94,44,2.11,55,1.72,31,70,0.0
Dhiego,Lima,,Jan 31 1989,6' 2",170 lbs.,75.0",Orthodox,17,8,0,--,3.14,38,3.93,59,1.38,42,73,0.7
Douglas,Lima,The Phenom,Jan 05 1988,6' 1",170 lbs.,--,,29,6,0,--,1.92,36,2.84,60,0.60,100,46,0.0
Mabelly,Lima,,Jan 25 1994,5' 2",135 lbs.,--,Orthodox,7,1,0,--,3.07,63,5.67,44,0.00,0,100,0.0
Miguel,Linares,,--,--,--,--,,2,4,0,--,6.51,50,8.84,36,0.00,0,0,0.0
Matt,Lindland,The Law,May 17 1970,6' 0",185 lbs.,74.0",Southpaw,22,9,0,--,2.62,50,1.56,52,3.01,48,60,1.3
Jake,Lindsey,The Librarian,Jun 21 1986,5' 11",155 lbs.,--,Switch,12,7,0,--,3.44,52,4.01,46,0.65,33,50,0.0
John,Lineker,Hands of Stone,Jun 12 1990,5' 3",135 lbs.,67.0",Orthodox,31,9,0,--,5.36,40,4.27,56,0.56,58,67,0.6
Austin,Lingo,Lights Out,Jul 10 1994,5' 10",145 lbs.,70.0",Orthodox,8,1,0,--,3.57,44,3.17,62,1.00,66,76,0.0
Lucio,Linhares,,Dec 08 1973,6' 2",185 lbs.,--,Orthodox,19,8,0,--,0.99,22,3.47,34,1.86,50,50,1.9
Philipe,Lins,Monstro,Aug 17 1985,6' 2",240 lbs.,78.0",Orthodox,14,5,0,--,2.66,40,3.68,49,0.00,0,0,0.0
Ariane,Lipski,Queen of Violence,Jan 26 1994,5' 6",125 lbs.,67.0",Orthodox,13,6,0,--,3.03,32,4.45,48,0.27,25,45,0.5
Dean,Lister,The Boogeyman,Feb 13 1976,6' 1",185 lbs.,75.0",Orthodox,13,7,0,--,1.26,35,1.89,61,1.58,15,50,1.1
Wesley,Little,,--,6' 4",205 lbs.,--,,4,8,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Abner,Lloveras,Skullman,Sep 04 1982,5' 11",155 lbs.,--,,20,9,1,--,6.27,49,6.87,43,2.00,20,0,0.0
Brian,Lo-A-Njoe,,--,5' 7",155 lbs.,--,Orthodox,6,10,3,--,3.87,42,0.00,0,0.00,0,66,0.0
John,Lober,The Machine,Feb 26 1968,5' 11",199 lbs.,--,Orthodox,5,9,4,--,0.00,0,0.00,0,0.00,0,0,0.0
Artem,Lobov,The Russian Hammer,Aug 11 1986,5' 9",145 lbs.,65.0",Southpaw,13,15,1,--,3.52,41,4.82,50,0.39,25,52,0.0
Dylan,Lockard,,May 19 1992,5' 9",145 lbs.,72.0",Orthodox,6,2,0,--,1.31,53,3.31,52,2.31,40,28,1.2
Sean,Loeffler,The Destroyer,May 23 1982,6' 3",185 lbs.,--,Orthodox,31,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Christian,Lohsen,Hollywood,Jan 24 1995,6' 2",155 lbs.,77.0",Southpaw,4,2,0,--,5.27,49,6.93,44,0.00,0,0,2.0
David,Loiseau,The Crow,Dec 17 1979,6' 0",185 lbs.,76.0",Orthodox,23,11,0,--,1.59,44,3.64,43,0.43,42,36,0.1
Hector,Lombard,,Feb 02 1978,5' 9",185 lbs.,71.0",Southpaw,34,10,1,--,3.02,46,3.35,53,1.69,48,77,0.5
Michael,Lombardo,The Don,Apr 03 1990,6' 0",170 lbs.,72.0",Orthodox,11,2,0,--,1.47,62,2.63,31,2.50,21,60,0.0
Rocky,Long,,Feb 18 1978,--,145 lbs.,--,,21,37,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Thomas,Longacre,,--,5' 9",145 lbs.,--,Orthodox,6,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Loma,Lookboonmee,,Jan 18 1996,5' 1",115 lbs.,61.0",Orthodox,6,2,0,--,5.27,58,3.13,54,1.50,37,76,0.0
Ange,Loosa,,Mar 18 1994,5' 9",170 lbs.,--,,7,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Lucas,Lopes,,Oct 05 1979,6' 2",185 lbs.,--,,29,19,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Dileno,Lopes,,Sep 26 1984,5' 5",135 lbs.,--,,19,3,0,--,2.37,36,3.33,53,2.50,31,100,1.5
Ivan,Lopez,,--,5' 6",135 lbs.,--,Southpaw,14,3,1,--,0.90,26,2.24,65,0.00,0,30,0.0
Steve,Lopez,,Jul 30 1984,5' 11",155 lbs.,--,Orthodox,13,6,1,--,1.39,24,2.69,62,0.00,0,37,0.0
Federico,Lopez,Kiko,--,5' 4",139 lbs.,--,Orthodox,10,6,0,--,1.78,23,5.35,30,0.00,0,0,0.0
Jorge,Lopez,,Nov 21 1988,5' 10",170 lbs.,--,Orthodox,11,5,0,--,2.47,59,2.57,50,3.50,41,81,0.0
Christopher,Lopez,,Jan 30 1986,5' 10",170 lbs.,--,,9,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Matthew,Lopez,,Jan 21 1987,5' 7",135 lbs.,69.0",Southpaw,10,4,0,--,3.13,50,3.73,55,3.32,60,71,1.3
Benito,Lopez,Golden Boy,Apr 06 1994,5' 10",135 lbs.,73.0",Switch,10,1,0,--,4.49,44,4.80,58,0.00,0,78,0.3
Gustavo,Lopez,,Jun 27 1989,5' 5",135 lbs.,67.0",Orthodox,12,6,0,--,2.24,41,4.65,51,1.07,50,27,0.5
Brendan,Loughnane,,Dec 05 1989,5' 10",145 lbs.,70.0",Switch,17,3,0,--,6.23,63,6.70,53,1.50,30,92,0.0
Nate,Loughran,,Jul 28 1980,6' 2",185 lbs.,--,Orthodox,11,2,0,--,1.81,40,4.11,59,0.00,0,0,2.1
Rashard,Lovelace,,--,--,155 lbs.,--,,4,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ian,Loveland,The Barn Owl,Sep 07 1983,5' 8",145 lbs.,--,Orthodox,18,10,0,--,2.71,40,2.36,64,1.00,37,69,0.3
Jakob,Lovstad,The Striking Viking,--,6' 3",205 lbs.,--,Orthodox,11,4,0,--,0.00,0,9.43,35,0.00,0,0,0.0
Waylon,Lowe,,Oct 31 1980,5' 7",145 lbs.,--,Southpaw,16,7,0,--,1.88,55,2.40,53,4.47,55,83,0.3
Brandon,Lowe,,--,--,155 lbs.,--,,2,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Joe,Lowry,,Dec 12 1989,5' 11",155 lbs.,73.0",Orthodox,9,2,0,--,3.97,34,4.25,63,0.00,0,0,0.0
Robert,Lucarelli,,--,6' 2",245 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Matt,Lucas,Luke Duke,--,6' 1",205 lbs.,--,,15,3,0,--,1.27,48,3.93,40,1.00,10,0,0.0
Cleber,Luciano,,--,5' 6",155 lbs.,--,,14,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Duane,Ludwig,Bang,Aug 04 1978,5' 10",170 lbs.,70.0",Orthodox,21,14,0,--,4.62,44,3.05,57,0.43,25,59,0.1
Mike,Lullo,,Jul 24 1979,5' 8",145 lbs.,--,Orthodox,8,3,0,--,2.48,36,4.84,40,1.18,11,0,0.6
Dalcha,Lungiambula,Champion,Jul 31 1987,5' 8",185 lbs.,76.0",Orthodox,11,2,0,--,1.85,50,2.27,43,2.07,50,75,0.0
Alexandru,Lungu,,Sep 03 1974,6' 0",385 lbs.,--,Orthodox,14,4,0,--,3.61,66,7.22,40,0.00,0,0,0.0
Vicente,Luque,The Silent Assassin,Nov 27 1991,5' 11",170 lbs.,75.0",Orthodox,20,7,1,--,5.74,54,5.78,52,0.66,50,65,0.9
Thaddeus,Luster,,--,6' 3",210 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Travis,Lutter,The Serial Killer,May 12 1973,5' 11",185 lbs.,75.0",Orthodox,10,6,0,--,0.41,32,2.42,42,1.95,24,30,0.7
Tucker,Lutz,Top Gun,Jul 12 1994,5' 8",155 lbs.,72.0",Orthodox,12,1,0,--,5.09,52,3.67,45,2.33,63,84,0.3
Lv,Zhenhong,,Jun 25 1993,5' 8",145 lbs.,67.0",Switch,16,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Stevie,Lynch,,--,5' 10",170 lbs.,--,Orthodox,5,2,0,--,2.47,25,7.06,41,0.00,0,0,0.0
Adam,Lynn,,--,5' 10",155 lbs.,--,Orthodox,17,10,0,--,1.47,63,6.95,10,0.00,0,50,0.0
Chris,Lytle,Lights Out,Aug 18 1974,5' 11",170 lbs.,68.0",Orthodox,31,18,5,--,3.76,45,3.03,58,0.70,55,55,2.4
Dong Hyun,Ma,Maestro,Sep 09 1988,5' 11",155 lbs.,70.0",Orthodox,16,11,3,--,2.84,41,4.10,54,1.27,53,33,0.0
